date,rating,title_review
2018-12-29 15:24:59,3,"['start', 'become', 'pretty', 'annoyingalmost', 'everything', 'smooth', 'except', 'three', 'thing', 'experience', 'first', 'one', 'purchase', 'load', 'amount', 'receive', 'text', 'message', 'error', 'gcash', 'deduct', 'balance', 'never', 'return', 'next', 'try', 'pay', 'electric', 'bill', 'keep', 'get', 'error', 'invalid', 'account', 'number', 'wherein', 'last', 'month', 'transaction', 'go', 'smoothly', 'company', 'lastly', 'try', 'cashin', 'remittance', 'moneygram', 'option', 'provide', 'amount', 'control', 'number', 'get', 'pop', 'state', 'need', 'provide', 'sender', 'name', 'receiver', 'name', 'option', 'type', 'hence', 'try', 'error', 'fourth', 'attempt', 'receive', 'pop', 'error', 'state', 'control', 'number', 'wrong', 'account', 'specific', 'cashin', 'remittance', 'lock', 'due', 'mulitple', 'invalid', 'attempt', 'like', 'heck', 'try', 'call', 'totally', 'useless', 'contact', 'gcash', 'care', 'still', 'respond', 'hope', 'could', 'person', 'easily', 'talk', 'issue', 'go', 'app', 'activity']"
2020-05-16 07:33:32,5,"['actually', 'app', 'get', 'many', 'negative', 'review', 'actually', 'bad', 'really', 'make', 'thing', 'convenient', 'get', 'avoid', 'long', 'line', 'especially', 'bank', 'since', 'deposit', 'use', 'app', 'go', 'cash', 'machine', 'partner', 'establishment', 'line', 'usually', 'also', 'great', 'help', 'quarantine', 'also', 'convenience', 'fee', 'pay', 'bill', 'use', 'service', 'unlike', 'apps', 'charge', 'encounter', 'time', 'deduction', 'fund', 'make', 'despite', 'transaction', 'fail', 'contact', 'customer', 'service', 'file', 'form', 'refund', 'provide', 'proof', 'good', 'also', 'one', 'time', 'cash', 'wrong', 'account', 'type', 'wrong', 'number', 'call', 'customer', 'service', 'able', 'transfer', 'back', 'correct', 'account', 'provide', 'proof', 'like', 'transaction', 'number', 'receipt', 'good', 'yeah', 'take', 'time', 'typical', 'country', 'slow', 'processing', 'come', 'thing', 'understandable', 'also', 'like', 'plant', 'tree', 'thing', 'app']"
2020-02-04 00:25:57,3,"['cash', 'concerna', 'little', 'bit', 'disappoint', 'cash', 'via', 'debit', 'card', 'wait', 'receive', 'otp', 'restart', 'application', 'still', 'scenario', 'happen', 'check', 'account', 'already', 'credit', 'bank', 'reach', 'customer', 'support', 'since', 'fund', 'gcash', 'account', 'first', 'one', 'talk', 'say', 'transaction', 'need', 'call', 'issue', 'bank', 'call', 'say', 'already', 'deduct', 'account', 'mean', 'successful', 'transaction', 'need', 'talk', 'gcash', 'try', 'reach', 'gcash', 'customer', 'support', 'still', 'update', 'concern', 'always', 'concern', 'whenever', 'cash', 'via', 'debit', 'card', 'otp', 'always', 'late', 'hope', 'fix', 'use', 'gcash', 'quite', 'need', 'money', 'cause', 'cash', 'know', 'would', 'happen', 'would', 'put', 'cash', 'gcash', 'pay', 'bill', 'somewhere', 'else']"
2019-12-10 09:43:52,1,"['frustrating', 'slow', 'bunch', 'thievesi', 'avid', 'gcash', 'user', 'almost', 'year', 'every', 'day', 'always', 'make', 'purchase', 'app', 'however', 'past', 'day', 'especially', 'within', 'month', 'payment', 'method', 'continuously', 'decline', 'even', 'though', 'never', 'problem', 'every', 'time', 'try', 'verify', 'information', 'money', 'take', 'verification', 'never', 'return', 'account', 'always', 'reversal', 'kind', 'process', 'do', 'several', 'time', 'today', 'spend', 'verification', 'card', 'still', 'go', 'despite', 'correct', 'information', 'worst', 'day', 'ago', 'purchase', 'item', 'however', 'itunes', 'available', 'obviously', 'transaction', 'would', 'unsuccessful', 'right', 'however', 'money', 'deduct', 'account', 'never', 'return', 'send', 'ticket', 'contact', 'customer', 'service', 'via', 'mail', 'number', 'even', 'message', 'messenger', 'response', 'contact', 'apple', 'great', 'fast', 'customer', 'service', 'meanwhile', 'app', 'steal', 'money', 'customer', 'gon', 'cancel', 'account', 'report', 'authority', 'right', 'slow', 'frustrating', 'service', 'especially', 'come', 'people', 'money']"
2018-06-26 18:43:31,1,"['payment', 'payment', 'via', 'gcash', 'post', 'take', 'support', 'team', 'receive', 'report', 'ticket', 'submit', 'cust', 'take', 'another', 'get', 'result', 'support', 'team', 'despite', 'payment', 'make', 'even', 'make', 'sure', 'payment', 'make', 'would', 'go', 'would', 'even', 'reach', 'update', 'money', 'post', 'recipient', 'even', 'float', 'gcash', 'account', 'since', 'already', 'deduct', 'account', 'use', 'money', 'long', 'possible', 'month', 'still', 'development', 'custrep', 'useless', 'submit', 'ticket', 'support', 'team', 'support', 'team', 'job', 'untouchable', 'sense', 'ownership', 'ask', 'take', 'action', 'follow', 'turn', 'around', 'time', 'say', 'wait', 'feedback', 'even', 'already', 'nothing', 'ever', 'receive', 'yet', 'whether', 'take', 'year', 'get', 'feedback', 'ever', 'get', 'one', 'management', 'process', 'place', 'make', 'sure', 'good', 'service', 'provide', 'incompetent', 'call']"
2019-08-11 06:45:05,1,"['forgotten', 'mpin', 'forget', 'mpin', 'slow', 'service', 'resolve', 'take', 'proper', 'response', 'gmail', 'account', 'messenger', 'long', 'list', 'requirement', 'fill', 'order', 'retrieve', 'fill', 'response', 'day', 'response', 'answer', 'expect', 'ask', 'information', 'yet', 'day', 'still', 'retrieve', 'account', 'verification', 'send', 'gcash', 'app', 'mpin', 'say', 'enter', 'right', 'pin', 'contact', 'gmail', 'messenger', 'contact', 'account', 'messenger', 'direct', 'another', 'gcash', 'account', 'info', 'reach', 'three', 'account', 'still', 'request', 'requirement', 'look', 'like', 'focus', 'response', 'focus', 'rely', 'even', 'though', 'send', 'already', 'hard', 'retrieve', 'facebook', 'forgotten', 'password', 'retrieve', 'less', 'still', 'gmail', 'sorry', 'spread', 'different', 'social', 'medias', 'people', 'know', 'hop', 'good', 'improvement']"
2020-06-07 04:57:17,5,"['gcash', 'user', 'since', 'use', 'gcash', 'year', 'yes', 'perfect', 'help', 'lot', 'manage', 'finance', 'especially', 'pandemic', 'ca', 'go', 'whenever', 'want', 'make', 'transfer', 'different', 'bank', 'easier', 'able', 'pay', 'bill', 'home', 'connect', 'bank', 'account', 'gcash', 'cash', 'happens', 'real', 'time', 'although', 'encounter', 'issue', 'like', 'unsuccessful', 'transaction', 'yet', 'money', 'deduct', 'account', 'error', 'pay', 'bill', 'usually', 'pay', 'every', 'month', 'still', 'believe', 'minor', 'lapse', 'gcash', 'able', 'address', 'case', 'money', 'deduct', 'return', 'able', 'pay', 'bill', 'retry', 'several', 'time', 'mention', 'gsave', 'partner', 'cimb', 'per', 'annum', 'interest', 'rate', 'waaaay', 'bank', 'offer', 'summary', 'still', 'believe', 'gcash', 'great', 'app', 'use', 'go', 'ahead', 'download']"
2020-04-26 04:57:47,1,"['gcash', 'lose', 'primeokay', 'gcash', 'dati', 'year', 'ago', 'puro', 'error', 'fully', 'verify', 'magkakaroon', 'error', 'like', 'transaction', 'limit', 'di', 'nakakapag', 'gcash', 'transaction', 'day', 'pinaganda', 'lang', 'ui', 'pinasakit', 'ulo', 'mo', 'pinag', 'iisipan', 'nang', 'ilipat', 'yung', 'gsave', 'fund', 'yung', 'hassle', 'binibigay', 'sayo', 'app', 'sobrang', 'nakaka', 'stress', 'eh', 'simple', 'lang', 'sana', 'yun', 'purpose', 'since', 'main', 'source', 'incoming', 'fund', 'thru', 'paypal', 'sobrang', 'dali', 'hassle', 'thankful', 'gcash', 'last', 'month', 'makapag', 'cash', 'paypal', 'puro', 'error', 'lang', 'yung', 'app', 'trouble', 'shooting', 'suggestion', 'gcash', 'support', 'kwenta', 'naman', 'resolve', 'yung', 'issue', 'ask', 'customer', 'service', 'paypal', 'wala', 'naman', 'daw', 'problema', 'account', 'week', 'pasts', 'wala', 'rin', 'talaga', 'decide', 'mag', 'cash', 'use', 'bank', 'account', 'okay', 'naman', 'nung', 'kailngan', 'akong', 'transaction', 'use', 'bank', 'transfer', 'gcash', 'makapag', 'proceed', 'error', 'naman', 'like', 'limit', 'etc', 'limit', 'cash', 'small', 'amount', 'transfer', 'parent', 'pang', 'gastos', 'pambili', 'makakakain', 'convenient', 'sana', 'kase', 'easy', 'transfer', 'lockdown', 'naman', 'nakaka', 'stress', 'cash', 'small', 'amount', 'wala', 'pang', 'daily', 'transaction', 'limit', 'makapag', 'padala']"
2021-01-12 09:46:26,5,"['read', 'please', 'others', 'like', 'gcash', 'expect', 'much', 'gcash', 'everything', 'u', 'want', 'give', 'others', 'error', 'maybe', 'give', 'little', 'patience', 'think', 'time', 'give', 'u', 'challenge', 'like', 'u', 'give', 'patience', 'really', 'need', 'time', 'maybe', 'try', 'solve', 'problem', 'first', 'dramatically', 'go', 'crazy', 'anyways', 'base', 'experience', 'get', 'people', 'realize', 'hurt', 'nobody', 'care', 'maybe', 'least', 'try', 'solve', 'problem', 'people', 'close', 'make', 'thing', 'even', 'true', 'start', 'girl', 'hurt', 'girl', 'boy', 'well', 'thing', 'say', 'right', 'happy', 'use', 'gcash', 'bye', 'anyways', 'sorry', 'tell', 'feeling', 'take', 'anymore']"
2020-07-16 05:22:48,2,"['delayed', 'payment', 'reflectiongcash', 'serf', 'really', 'convenient', 'way', 'purchase', 'settle', 'bill', 'first', 'ever', 'transaction', 'june', 'settle', 'globe', 'postpaid', 'account', 'mother', 'company', 'neglect', 'countless', 'time', 'remain', 'unresolved', 'though', 'line', 'actually', 'cut', 'four', 'day', 'due', 'unreflected', 'payment', 'resort', 'globe', 'hotline', 'provide', 'ai', 'option', 'address', 'globe', 'store', 'ask', 'take', 'hotline', 'hotline', 'online', 'quite', 'helpful', 'confirm', 'payment', 'already', 'reflect', 'system', 'globe', 'one', 'account', 'state', 'want', 'coordinate', 'back', 'globe', 'point', 'finger', 'three', 'week', 'pass', 'still', 'solution', 'either', 'globe', 'one', 'thing', 'know', 'billing', 'due', 'date', 'arrives', 'neither', 'two', 'company', 'service', 'cut', 'unapplied', 'unreflected', 'payment', 'already', 'make']"
