date,review,rating,userName,isEdited,title,app_name,app_id,developerResponse
2018-12-29 15:24:59,"Almost everything is smooth except for three things that i had experienced; the first one was i purchase a load amounting to 100 i received a text message that it was an error but gcash deducted the 100 on my balance and it never returned next i was trying to pay my electric bill through pelco2 and i keep on getting an error of invalid account number wherein last month my transaction went smoothly with the same company and lastly i was trying to cashin my remittance through moneygram and the only options are to provide the amount and the control number i did that and was getting a pop up stating that i need to provide the sender name and receiver name but there is no option for me to type that hence, i tried it again same error and on the fourth attempt i receive a pop up error stating that the control number is wrong and that my account specific to the cashin through remittance is locked out due to mulitple invalid attempts like what the heck. Tried to call 2882 and it is totally useless contacted the gcash care and there is still no respond. I hope there could be a person that i can easily talked to with the issues that is going through with the app and my activities through it.",3,Fhayerie0406,False,It is starting to become pretty annoying,gcash,520020791,
2020-05-16 07:33:32,"This app gets so many negative reviews but it’s actually not that bad. It’s really made things more convenient. I get to avoid long lines especially in banks, since you can deposit using this app. You just have to go cash in through machines and other partner establishments which have no lines usually. It has also been a great help during the quarantine. Also there’s no convenience fee when paying bills when using their service unlike other apps where they charge you for it. I did encounter times where deductions to my fund were made despite transactions failing but i contacted customer service and filed a form and was refunded (just provide proof and you’re good). There was also one time where I cashed in to a wrong account (I typed a wrong number) with 15k and called the customer service and they were able to transfer it back to my correct account (again just provide proof like transaction numbers and receipts and you’re good). Yeah those took some time but it’s typical in our country to have slow processing when it comes to these things so it was understandable. I also like the plant a tree thing they have in the app.",5,i don't usually rate/review,False,Actually ok.,gcash,520020791,
2020-02-04 00:25:57,"A little bit disappointed when I cashed in via debit card. I waited 3-5mins to receive the OTP, I had to restart the application but still same scenario happened. When I checked my account, I was already credited by my bank and so I reached for customer support since it was not funded in my Gcash account, the first one I talked to said that they had no transactions so I need to call my issuing bank. I called them and said that if it was already deducted on my account meaning it was a successful transaction and I need to talk to Gcash. So, I tried reaching out to GCash customer support but still no update on my concern.

This was always a concern to me whenever I cash in via debit card, the OTP is always late. I hope you can fix this, I've been using Gcash for quite a while now. I need my money cause that's my only cash. If only I knew this would happen, I wouldn't put my cash on gcash and paid my bill somewhere else.",3,Mhei Castro,False,Cash In Concern,gcash,520020791,
2019-12-10 09:43:52,"I’ve been an avid gcash user for almost 3 years, and every day I always make purchases through this app. However, these past few days especially within this month, my payment method was continuously declined even though I never had any problems before. Every time I tried verifying my information, the money taken out for the verification was never returned to my account (there should always be a reversal for this kind of process). I have done this several times today and spent more than Php200 just for verification of my card and it still won’t go through despite correct information.

What’s worst is that a few days ago I purchased an item however iTunes wasn’t available, so obviously the transaction would be unsuccessful right? However, money was deducted from my account and never returned! I sent a ticket, contact customer service via mail and number and even messaged them on messenger...no response!

I contacted Apple and they have great and fast customer service. Meanwhile your app steals money from their own customers. I’m gonna cancel my account and report this to the authorities because this is not right. You should not have a slow and frustrating service especially when it comes to people’s money.",1,gella.fish,False,Frustrating and slow and you’re a bunch of thieves,gcash,520020791,
2018-06-26 18:43:31,"My payment via gcash did not post. It takes 3-5bd for the support team receive the report ticket submitted by the cust rep. It takes another 2bd to get result from the support team. Despite the payment was made 3weeks before. They don’t even make sure that the payment you made would go through. They would not even reach out to you to update you. So the money is not posted to the recipient, not even in the float, not in your gcash account since they already deducted it; but in their account. So they are using your money for themselves for as long as possible. It’s been months and still no development. Custrep are useless as they can only submit tickets to their support team. Their support team does not do it’s job, and they are untouchable. No sense of ownership. You can’t ask them a take action and they don’t follow their own 2-3bd turn around time. All they say is that they are waiting for a feedback, even if it’s already 2months and nothing was ever received yet. So whether it takes a year to get a feedback, if they will ever get one, or not. And their management is the same, they don’t have process in place to make sure that good service is provided and incompetent personnels/departments are called out.",1,7h3n6,False,Payments don’t post.,gcash,520020791,
2019-08-11 06:45:05,"Once you forgot your MPIN, you have a very slow service when resolving it, it took me 6days to have a proper response on Gmail, 2 accounts on messenger. They have long list of requirements for you to fill in order to retrieve it, but then after you fill it all they’ll response after Few days. The response isn’t the answer you’ll expect, but it’ll ask for more information, and yet up until this 6th day I still haven’t retrieve my account. 👎 the verification sent by gcash from the app for MPIN, will say i have entered the right pin but i will have to contact it through gmail and messenger, after i contact it the account on messenger will direct you to another gcash account for more info, and after i reached out on these three accounts up until now they still request for more, but the same requirements. Looks like they don’t focus on my response they just focus on relying the same even though i sent it already. It’s so hard to retrieve it when in facebook your forgotten password will be retrieve in less than 5minutes if you still have your gmail. Sorry but i’ll spread these to different social medias, and those people i know. Hoping for better improvement",1,Shiria_Milka,False,Forgotten MPIN 👎,gcash,520020791,
2020-06-07 04:57:17,"I've been using gcash for 2 years now, and yes it's not perfect, but it has helped me a lot in managing my finances, especially now that there's a pandemic and you just can't go out whenever you want to. It made transfers between different banks easier. I'm able to pay my bills at home. Connecting my bank account to gcash and cashing in and out happens real time. Although I've encountered some issues like unsuccessful transaction and yet money is deducted from my account, or errors in paying bills I'm usually paying every month, I still believe these are just minor lapses which Gcash will be able to address (in my case, money deducted was returned, and I'm able to pay the bill by retrying several times). Not to mention Gsave (partnered with CIMB) which has a 4.1% per annum interest rate, which is WAAAAY above what banks offer.

So as a summary, I still believe Gcash is a great app to use. Go ahead and download it!",5,Kyo V,False,Gcash user since 2018,gcash,520020791,
2020-04-26 04:57:47,"Okay GCash dati 3-4 years ago. Ngayon puro errors na, kahit fully verified ka magkakaroon ng errors like transaction limit kahit di ka nakakapag GCash transaction that day. Pinaganda lang UI pero pinasakit ulo mo. Ngayon pinag iisipan ko nang ilipat yung GSave funds ko sa iba. Yung hassle na binibigay sayo ng app na to sobrang nakaka stress na dapat eh simple lang sana which is yun ang purpose nila. 

Since 2018 my main source of incoming funds ay thru PayPal. Sobrang dali noon. Walang hassle. Thankful ako sa GCash. But last month, hindi na ako makapag cash in sa PayPal. Puro error na lang yung App. Lahat ng trouble shootings ginawa ko na. Lahat ng suggestions ng GCash Support walang kwenta dahil hindi naman na resolve yung issue. Asked customer service ng PayPal. Wala naman daw problema account ko. So ano na? Weeks pasts wala pa rin talaga.

So I decided na mag cash in using my bank accounts. Okay naman nung una pero may mga kailngan akong transaction using bank transfer sa GCash at ngayon hindi makapag proceed. May error na naman like limits etc. for the limit, I cash in small amount and have to transfer it to my parent para may pang gastos at pambili ng makakakain. Convenient sana kase easy transfer na, lockdown pa naman. Pero nakaka stress I cash in small amount which is wala pang 10% ng daily transaction limit ko at ngayon hindi ako makapag padala.",1,BalaGad0om,False,GCash is Losing its Prime,gcash,520020791,
2021-01-12 09:46:26,"Those others who doesn’t like gcash don’t expect to much of gcash because not everything u want can give it. To those others who have an error maybe give a little more patience, think of it as the time is giving u a challenge like if u can give more patience or not, you just really need time and maybe try to solve what’s the problem first before you dramatically go crazy. Anyways other than that base on my experience, I just don’t get why people don’t realize that we are all hurting but nobody cares, at all maybe at least try to solve your problems with those people close to you and don’t make up things that’s not even true from the start the girl is hurting and not only for girls but for boys as well and again other than the things I just said right now I’m happy of using the gcash that’s all bye anyways sorry for telling my feelings I just can’t take it anymore",5,Monica cheekee,False,Read please!!,gcash,520020791,
2020-07-16 05:22:48,"GCash serves as a really convenient way to purchase and settle bill. My first ever transaction this June 2020 to settle my Globe postpaid account (same mother company) has been neglected countless times and remains unresolved up to now though. My line was actually cut for four (4) days due to this unreflected payment. 

I have resorted to the Globe hotline 211 which does not provide any AI option to address this. Globe store asked me to take this up with G-cash through their 2882 hotline. G-cash hotline and online were quite helpful to confirm that payment has already been reflected on the system of G-Cash, but my Globe One account does not state the same. Now G-Cash wants me to coordinate back with Globe. Both are pointing fingers at each other. Three weeks have passed and still no solution from either G-Cash nor Globe!

One thing I know is when my billing due date arrives again, neither of these two (2)  companies will have their services cut because of an “unapplied” and “unreflected” payment already made.",2,Jem Ang,False,Delayed Payment Reflection,gcash,520020791,
